38 Provinsi,Angka Harapan Hidup (AHH) Menurut Provinsi dan Jenis Kelamin (Tahun),
,Laki-laki,Perempuan
,2024,2024
ACEH,68.52,72.45
SUMATERA UTARA,68.36,72.3
SUMATERA BARAT,68.41,72.35
RIAU,70.56,74.58
JAMBI,70.09,74.09
SUMATERA SELATAN,69,72.95
BENGKULU,68.21,72.15
LAMPUNG,69.56,73.54
KEP. BANGKA BELITUNG,69.55,73.52
KEP. RIAU,69.3,73.27
DKI JAKARTA,72.08,76.28
JAWA BARAT,72.26,76.56
JAWA TENGAH,73.21,76.99
DI YOGYAKARTA,73.66,77.4
JAWA TIMUR,70.39,74.4
BANTEN,69.09,73.04
BALI,71.19,75.49
NUSA TENGGARA BARAT,65.79,69.77
NUSA TENGGARA TIMUR,66.04,70.03
KALIMANTAN BARAT,69.61,73.59
KALIMANTAN TENGAH,68.51,72.44
KALIMANTAN SELATAN,67.72,71.67
KALIMANTAN TIMUR,73.21,76.9
KALIMANTAN UTARA,70.76,74.79
SULAWESI UTARA,70.73,74.76
SULAWESI TENGAH,67.49,71.44
SULAWESI SELATAN,69.49,73.47
SULAWESI TENGGARA,69.66,73.64
GORONTALO,67.16,71.12
SULAWESI BARAT,64.37,68.27
MALUKU,65.05,68.96
MALUKU UTARA,67.28,71.36
PAPUA BARAT,65.13,69.07
PAPUA BARAT DAYA,65.88,69.82
PAPUA,66.76,70.79
PAPUA SELATAN,64.53,68.42
PAPUA TENGAH,65.05,68.97
PAPUA PEGUNUNGAN,62.83,66.68
INDONESIA,70.32,74.21
,,
Catatan,<br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br />Salah satu variabel pembentuk Indeks Pembangunan Gender (IPG)<br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br />,
