38 Provinsi,
,Persentase Penduduk yang Mempunyai Keluhan Kesehatan dalam Sebulan Terakhir Menurut Provinsi (Persen)
,2024
ACEH,25.58
SUMATERA UTARA,23.99
SUMATERA BARAT,30.1
RIAU,23.6
JAMBI,23.73
SUMATERA SELATAN,29.89
BENGKULU,28.27
LAMPUNG,29.54
KEP. BANGKA BELITUNG,28.8
KEP. RIAU,26.26
DKI JAKARTA,24.07
JAWA BARAT,28.88
JAWA TENGAH,31.86
DI YOGYAKARTA,28.82
JAWA TIMUR,28.75
BANTEN,25.77
BALI,19.32
NUSA TENGGARA BARAT,38.88
NUSA TENGGARA TIMUR,29.56
KALIMANTAN BARAT,24.37
KALIMANTAN TENGAH,21.37
KALIMANTAN SELATAN,29
KALIMANTAN TIMUR,20.01
KALIMANTAN UTARA,19.93
SULAWESI UTARA,23.3
SULAWESI TENGAH,22.41
SULAWESI SELATAN,23.43
SULAWESI TENGGARA,20.87
GORONTALO,33.8
SULAWESI BARAT,23.33
MALUKU,14.38
MALUKU UTARA,13.22
PAPUA BARAT,14.18
PAPUA BARAT DAYA,17.43
PAPUA,14.43
PAPUA SELATAN,21.24
PAPUA TENGAH,10.72
PAPUA PEGUNUNGAN,8.88
INDONESIA,27.34
