Provinsi/Kabupaten/Kota/Indonesia,
,[Metode Baru] Harapan Lama Sekolah (Tahun)
,2024
ACEH,14.39
Simeulue,14.53
Aceh Singkil,14.36
Aceh Selatan,14.71
Aceh Tenggara,14.47
Aceh Timur,13.08
Aceh Tengah,15.03
Aceh Barat,14.93
Aceh Besar,14.77
Pidie,14.52
Bireuen,14.88
Aceh Utara,14.75
Aceh Barat Daya,13.69
Gayo Lues,14.59
Aceh Tamiang,14.51
Nagan Raya,14.18
Aceh Jaya,14.06
Bener Meriah,13.73
Pidie Jaya,15.01
Kota Banda Aceh,17.94
Kota Sabang,14.97
Kota Langsa,15.71
Kota Lhokseumawe,15.55
Kota Subulussalam,15.31
SUMATERA UTARA,13.49
Nias,13.31
Mandailing Natal,13.87
Tapanuli Selatan,13.72
Tapanuli Tengah,13.5
Tapanuli Utara,13.74
Toba Samosir / Toba,13.6
Labuhan Batu,13.26
Asahan,12.65
Simalungun,13.09
Dairi,13.53
Karo,13.26
Deli Serdang,13.4
Langkat,13.28
Nias Selatan,12.92
Humbang Hasundutan,13.46
Pakpak Bharat,13.91
Samosir,13.52
Serdang Bedagai,12.65
Batu Bara,13.12
Padang Lawas Utara,13.54
Padang Lawas,13.87
Labuhan Batu Selatan,13.53
Labuhan Batu Utara,13.58
Nias Utara,13.37
Nias Barat,12.99
Kota Sibolga,13.43
Kota Tanjung Balai,13.15
Kota Pematang Siantar,14.61
Kota Tebing Tinggi,13.13
Kota Medan,14.79
Kota Binjai,14.18
Kota Padangsidimpuan,14.62
Kota Gunungsitoli,13.79
SUMATERA BARAT,14.3
Kepulauan Mentawai,12.91
Pesisir Selatan,13.37
Solok,13.56
Sijunjung,12.76
Tanah Datar,15.05
Padang Pariaman,14.2
Agam,14.16
Lima Puluh Kota,13.42
Pasaman,13.52
Solok Selatan,13.07
Dharmasraya,12.89
Pasaman Barat,13.72
Kota Padang,16.57
Kota Solok,14.37
Kota Sawah Lunto,13.86
Kota Padang Panjang,15.47
Kota Bukittinggi,15.28
Kota Payakumbuh,14.57
Kota Pariaman,14.8
RIAU,13.42
Kuantan Singingi,13.38
Indragiri Hulu,12.6
Indragiri Hilir,12.21
Pelalawan,12.91
Siak,12.89
Kampar,13.61
Rokan Hulu,12.94
Bengkalis,13.44
Rokan Hilir,12.89
Kepulauan Meranti,12.87
Kota Pekanbaru,15.84
Kota Dumai,13.35
JAMBI,13.14
Kerinci,13.92
Merangin,12.26
Sarolangun,12.6
Batang Hari,12.97
Muaro Jambi,13.37
Tanjung Jabung Timur,12.21
Tanjung Jabung Barat,12.68
Tebo,12.93
Bungo,12.67
Kota Jambi,15.55
Kota Sungai Penuh,14.84
SUMATERA SELATAN,12.64
Ogan Komering Ulu,13
Ogan Komering Ilir,11.98
Muara Enim,12.02
Lahat,12.45
Musi Rawas,12.23
Musi Banyuasin,12.33
Banyu Asin,12.34
Ogan Komering Ulu Selatan,11.82
Ogan Komering Ulu Timur,12.49
Ogan Ilir,12.42
Empat Lawang,12.11
Penukal Abab Lematang Ilir,12.5
Musi Rawas Utara,11.9
Kota Palembang,14.46
Kota Prabumulih,13.41
Kota Pagar Alam,13.5
Kota Lubuklinggau,13.69
BENGKULU,13.75
Bengkulu Selatan,13.66
Rejang Lebong,14.2
Bengkulu Utara,12.92
Kaur,13.15
Seluma,13.33
Mukomuko,12.87
Lebong,12.91
Kepahiang,13.16
Bengkulu Tengah,13.47
Kota Bengkulu,16.07
LAMPUNG,12.78
Lampung Barat,12.3
Tanggamus,12.33
Lampung Selatan,12.65
Lampung Timur,12.98
Lampung Tengah,13.17
Lampung Utara,12.56
Way Kanan,12.44
Tulangbawang,12.3
Pesawaran,12.63
Pringsewu,12.93
Mesuji,11.82
Tulang Bawang Barat,12.12
Pesisir Barat,12.16
Kota Bandar Lampung,14.73
Kota Metro,14.79
KEP. BANGKA BELITUNG,12.49
Bangka,13.12
Belitung,12.09
Bangka Barat,11.79
Bangka Tengah,12.15
Bangka Selatan,11.71
Belitung Timur,11.69
Kota Pangkal Pinang,13.3
KEPULAUAN RIAU,13.27
Karimun,12.62
Bintan,13.45
Natuna,13.94
Lingga,12.65
Kepulauan Anambas,13.06
Kota Batam,13.56
Kota Tanjung Pinang,14.18
DKI JAKARTA,13.51
Kep. Seribu,12.67
Kota Jakarta Selatan,13.94
Kota Jakarta Timur,14.07
Kota Jakarta Pusat,13.31
Kota Jakarta Barat,13.14
Kota Jakarta Utara,12.7
JAWA BARAT,12.8
Bogor,12.75
Sukabumi,12.39
Cianjur,12.04
Bandung,12.74
Garut,12.17
Tasikmalaya,12.64
Ciamis,14.3
Kuningan,12.27
Cirebon,12.42
Majalengka,12.27
Sumedang,13.02
Indramayu,12.32
Subang,12.11
Purwakarta,12.25
Karawang,12.21
Bekasi,13.18
Bandung Barat,12
Pangandaran,12.31
Kota Bogor,13.51
Kota Sukabumi,13.62
Kota Bandung,14.25
Kota Cirebon,13.17
Kota Bekasi,14.14
Kota Depok,14.11
Kota Cimahi,13.85
Kota Tasikmalaya,13.5
Kota Banjar,13.28
JAWA TENGAH,12.86
Cilacap,12.69
Banyumas,13.34
Purbalingga,12.03
Banjarnegara,11.83
Kebumen,13.39
Purworejo,13.55
Wonosobo,11.81
Magelang,12.62
Boyolali,12.67
Klaten,13.43
Sukoharjo,13.92
Wonogiri,12.61
Karanganyar,13.73
Sragen,12.93
Grobogan,12.48
Blora,12.6
Rembang,12.3
Pati,12.98
Kudus,13.28
Jepara,12.86
Demak,13.36
Semarang,13.06
Temanggung,12.62
Kendal,13
Batang,12.17
Pekalongan,12.46
Pemalang,12.02
Tegal,12.96
Brebes,12.45
Kota Magelang,14.62
Kota Surakarta,15.07
Kota Salatiga,15.46
Kota Semarang,15.57
Kota Pekalongan,12.89
Kota Tegal,13.25
D I YOGYAKARTA,15.7
Kulon Progo,14.49
Bantul,15.63
Gunung Kidul,13.4
Sleman,16.79
Kota Yogyakarta,17.66
JAWA TIMUR,13.43
Pacitan,12.69
Ponorogo,13.78
Trenggalek,12.63
Tulungagung,13.36
Blitar,12.67
Kediri,13.63
Malang,13.49
Lumajang,12.41
Jember,13.5
Banyuwangi,13.14
Bondowoso,13.33
Situbondo,13.2
Probolinggo,12.64
Pasuruan,12.78
Sidoarjo,15.22
Mojokerto,12.99
Jombang,13.61
Nganjuk,13.18
Madiun,13.27
Magetan,14.08
Ngawi,12.89
Bojonegoro,13.18
Tuban,12.54
Lamongan,14.03
Gresik,13.98
Bangkalan,11.98
Sampang,12.55
Pamekasan,13.69
Sumenep,13.59
Kota Kediri,15.71
Kota Blitar,14.81
Kota Malang,15.79
Kota Probolinggo,13.98
Kota Pasuruan,13.67
Kota Mojokerto,14.13
Kota Madiun,14.54
Kota Surabaya,14.87
Kota Batu,14.58
BANTEN,13.1
Pandeglang,13.74
Lebak,12.11
Tangerang,12.88
Serang,12.87
Kota Tangerang,13.9
Kota Cilegon,13.23
Kota Serang,12.83
Kota Tangerang Selatan,14.7
BALI,13.62
Jembrana,13.05
Tabanan,13.29
Badung,14.23
Gianyar,14.11
Klungkung,13.13
Bangli,12.53
Karangasem,12.91
Buleleng,13.3
Kota Denpasar,14.13
NUSA TENGGARA BARAT,13.98
Lombok Barat,13.99
Lombok Tengah,13.89
Lombok Timur,14.07
Sumbawa,13.34
Dompu,13.84
Bima,13.66
Sumbawa Barat,13.68
Lombok Utara,13.02
Kota Mataram,15.68
Kota Bima,15.08
NUSA TENGGARA TIMUR,13.23
Sumba Barat,13.4
Sumba Timur,12.87
Kupang,13.9
Timor Tengah Selatan,12.62
Timor Tengah Utara,13.36
Belu,12.32
Alor,12.48
